model,1 = K12  Absorption rate constant,2 = V2  Central volume of distribution of sunitinib,3 = QH  Hepatic blood flow,4 = CLP  Clearance of sunitinib,5 = CLM  Clearance of SU12662,6 = V3  Central volume of distribution of SU12662,7 = Q34  Inter-compartmental clearance of SU12662,8 = V4  Peripheral volumes of distribution of SU12662,9 = FM  Fraction of sunitinib converted to SU12662,10 = Q25  Inter-compartmental clearance of Sunitinib,11 = V5  Peripheral volumes of distribution of Sunitinib,12 =  Prop. Error Suni,13 = Prop. Error Metab,1 IIV V2,"OMEGA(2,1)",2 IIV V3,"OMEGA(3,1)","OMEGA(3,2)",3 IIV CLP,"OMEGA(4,1)","OMEGA(4,2)","OMEGA(4,3)",4 IIV FM,Proportional error sunitinib,Proportional error SU12662,ofv,minimization.successful,covariance_step_run,minimization_successful,covariance_step_successful,covariance_step_warnings,estimate_near_boundary,rounding_errors,zero_gradients,final_zero_gradients,hessian_reset,s_matrix_singular,significant_digits,CPU-time [s],subprob_est_time,subprob_cov_time
29,0.148371347,2073.311074,80,28.16897579,10.92143388,486.5979561,3.124040479,506.6704162,0.21,0.403266104,588,-0.366637,-0.281007,0.055562743,0.045908263,0.27331855,0,-0.0613107,0.070644174,0,0,-0.042057,0.109765954,1,1,-501.0770096,1,1,1,1,0,0,0,0,0,0,0,2.3,,146.39,169.21
30,0.114510861,2904.599283,80,42.69436735,19.64338929,543.6433971,2.248281398,637.3723005,0.21,0.288534085,588,-0.366637,-0.281007,0.081625974,0.034038988,0.112049796,0,-0.0613107,0.116706748,0,0,-0.042057,0.106748753,1,1,-501.07701,1,1,1,1,0,0,0,0,0,0,0,2.3,,200.09,169.63
31,0.154895468,2493.719109,80,23.88688266,10.42166297,645.3049697,2.112871383,744.7624391,0.21,0.486971049,588,-0.366637,-0.281007,0.046149658,0.044793991,0.146354301,0,-0.0613107,0.072869225,0,0,-0.042057,0.093126497,1,1,-501.0761329,1,1,1,1,0,0,0,0,0,1,0,2.5,,202.34,164.04
32,0.170640373,1409.400016,80,46.71638461,19.26120652,685.4288346,2.05245575,401.7739069,0.21,0.351545963,588,-0.366637,-0.281007,0.071679859,0.049752001,0.104732885,0,-0.0613107,0.076599648,0,0,-0.042057,0.090057819,1,1,-501.0771589,1,1,1,1,0,0,0,0,0,0,0,2.5,,199.39,164.91
33,0.177407317,1490.758446,80,41.57541106,12.79025787,546.4528341,2.928347571,520.1743865,0.21,0.301807741,588,-0.366637,-0.281007,0.071364011,0.043107997,0.170170069,0,-0.0613107,0.087827794,0,0,-0.042057,0.113117163,1,1,-501.0772347,1,1,1,1,0,0,0,0,0,0,0,2.5,,164.14,167.65
34,0.111498606,1300.635353,80,36.27352301,19.8582237,598.7885213,2.305042536,781.7083309,0.21,0.363044879,588,-0.366637,-0.281007,0.053305503,0.05978313,0.222176532,0,-0.0613107,0.104403211,0,0,-0.042057,0.148926937,1,1,-501.0771811,1,1,1,1,0,0,0,0,0,0,0,2.4,,160.96,166.34
35,0.141968403,1103.750387,80,35.12881435,12.68053824,693.3295959,3.872344703,686.7954831,0.21,0.247695942,588,-0.366637,-0.281007,0.057249519,0.033605257,0.127714039,0,-0.0613107,0.097722219,0,0,-0.042057,0.115829844,1,1,-501.0767781,1,1,1,1,0,0,0,0,0,0,0,2.3,,200.4,167.91
36,0.078449645,1986.801694,80,40.17955926,20.6215373,929.3732481,2.086724362,387.0284494,0.21,0.375271917,588,-0.366637,-0.281007,0.066620189,0.077531061,0.217910604,0,-0.0613107,0.083400653,0,0,-0.042057,0.108328173,1,1,-501.076836,1,1,1,1,0,0,0,0,0,0,0,2.2,,179.8,161.41
37,0.078190047,1883.159902,80,24.68684353,18.06822274,940.6350111,2.257862415,678.8464263,0.21,0.342510821,588,-0.366637,-0.281007,0.039540432,0.040131771,0.18556084,0,-0.0613107,0.082800212,0,0,-0.042057,0.131152798,1,1,-501.0771726,1,1,1,1,0,0,0,0,0,0,0,2.4,,154.32,162.69
38,0.149828566,1409.317797,80,25.37013349,21.86607154,537.620595,2.430187358,735.3114529,0.21,0.361828597,588,-0.366637,-0.281007,0.084471546,0.036562143,0.190847575,0,-0.0613107,0.066251535,0,0,-0.042057,0.181842113,1,1,-501.0772608,1,1,1,1,0,0,0,0,0,0,0,2.5,,169.33,171.11
39,0.128928284,2027.371036,80,39.33858838,17.35500304,1065.295069,3.204482548,422.8620189,0.21,0.377577333,588,-0.366637,-0.281007,0.093234647,0.040428982,0.123544255,0,-0.0613107,0.071930861,0,0,-0.042057,0.155378878,1,1,-501.0771166,1,1,1,1,0,0,0,0,0,0,0,2.7,,130.38,166.07
40,0.106171933,1880.752267,80,41.26323552,16.15649995,948.5010277,2.815104119,784.6055127,0.21,0.407210395,588,-0.366637,-0.281007,0.057225257,0.052751558,0.203128411,0,-0.0613107,0.091634971,0,0,-0.042057,0.108586203,1,1,-501.0771537,1,1,1,1,0,0,0,0,0,0,0,2.2,,149.87,169.98
41,0.118691502,1725.801204,80,35.99024891,15.49694767,1213.406653,3.286954799,590.7426122,0.21,0.387854471,588,-0.366637,-0.281007,0.064241586,0.037666088,0.202450627,0,-0.0613107,0.075646732,0,0,-0.042057,0.11119917,1,1,-501.0772684,1,1,1,1,0,0,0,0,0,0,0,2.6,,163.26,162.66
42,0.145709279,2015.619213,80,29.15617078,15.31336418,1022.378505,2.277992768,752.6704349,0.21,0.374524214,588,-0.366637,-0.281007,0.068444756,0.042963052,0.161741227,0,-0.0613107,0.10587181,0,0,-0.042057,0.107958443,1,1,-501.0772573,1,1,1,1,0,0,0,0,0,0,0,2.5,,146.96,165.6
43,0.099296523,1532.207418,80,32.39338248,15.64475164,816.3459074,2.518311065,419.5782428,0.21,0.451041843,588,-0.366637,-0.281007,0.082225015,0.058224353,0.16843885,0,-0.0613107,0.065548068,0,0,-0.042057,0.143135436,1,1,-501.0772802,1,1,1,1,0,0,0,0,0,0,0,2.9,,141.32,164.35
44,0.135595476,1609.179395,80,14.53304842,16.8056417,371.1522673,2.155839737,415.3775672,0.21,0.399830407,588,-0.366637,-0.281007,0.065136937,0.040054797,0.122134295,0,-0.0613107,0.122224732,0,0,-0.042057,0.133284465,1,1,-501.0770983,1,1,1,1,0,0,0,0,0,0,0,2.2,,259.53,166.24
45,0.147286285,1807.785013,80,30.98577993,24.28836038,661.4580971,2.933979906,483.5807645,0.21,0.380193364,588,-0.366637,-0.281007,0.059249622,0.042394958,0.185224507,0,-0.0613107,0.078284389,0,0,-0.042057,0.113417093,1,1,-501.0772289,1,1,1,1,0,0,0,0,0,0,0,2.4,,186.48,161.86
46,0.120696295,1332.066824,80,38.28786604,10.88330202,629.3343938,2.204354435,589.2761456,0.21,0.317744631,588,-0.366637,-0.281007,0.077893208,0.046276414,0.166088987,0,-0.0613107,0.110716278,0,0,-0.042057,0.099059619,1,1,-501.0772202,1,1,1,1,0,0,0,0,0,0,0,2.3,,161.98,172.98
47,0.157504214,1769.767501,80,24.8461103,17.31413124,1789.99261,3.533447376,477.5431828,0.21,0.35943808,588,-0.366637,-0.281007,0.060339226,0.043532659,0.179134022,0,-0.0613107,0.089549723,0,0,-0.042057,0.106524492,1,1,-501.0772944,1,1,1,1,0,0,0,0,0,0,0,2.7,,162.31,171.91
48,0.16022875,1886.043678,80,52.27070162,17.72209948,1000.922953,3.23536989,519.4429341,0.21,0.355832882,588,-0.366637,-0.281007,0.06450771,0.04494932,0.170749892,0,-0.0613107,0.117175353,0,0,-0.042057,0.095715285,1,1,-501.077122,1,1,1,1,0,0,0,0,0,0,0,2.1,,166.68,171.93
49,0.115915675,1920.021789,80,46.50789271,14.81458366,467.1870669,2.26626455,519.7806309,0.21,0.353506658,588,-0.366637,-0.281007,0.062649081,0.040265403,0.185058245,0,-0.0613107,0.096767591,0,0,-0.042057,0.099147309,1,1,-501.077233,1,1,1,1,0,0,0,0,0,0,0,2.3,,153.63,164.01
50,0.147603356,1234.340637,80,37.06331847,20.11485283,854.5137218,2.628036523,678.582728,0.21,0.553941135,588,-0.366637,-0.281007,0.04410027,0.063545929,0.096128586,0,-0.0613107,0.082351571,0,0,-0.042057,0.092894158,1,1,,0,run failed: NONMEM run failed,,,,,,,,,,,,,
51,0.122907782,2220.85496,80,21.60233271,14.78145085,599.89218,3.196771946,642.7280895,0.21,0.295139856,588,-0.366637,-0.281007,0.06274549,0.073408923,0.152345597,0,-0.0613107,0.066613023,0,0,-0.042057,0.132139587,1,1,,0,run failed: NONMEM run failed,,,,,,,,,,,,,
52,0.130321273,1851.138011,80,42.22659669,18.15459274,894.9675413,3.826135518,834.2475313,0.21,0.336737751,588,-0.366637,-0.281007,0.050487302,0.051274484,0.14046243,0,-0.0613107,0.062055613,0,0,-0.042057,0.11961659,1,1,-501.0755524,1,1,1,1,0,0,0,0,0,0,0,2,,154.42,162.64
53,0.13674071,2100.642735,80,30.76957866,19.26191432,699.5559326,3.263730868,509.875962,0.21,0.457425803,588,-0.366637,-0.281007,0.072336187,0.043853488,0.148401581,0,-0.0613107,0.081871776,0,0,-0.042057,0.086628539,1,1,-501.0771903,1,1,1,1,0,0,0,0,0,0,0,2.3,,181.46,159.9
54,0.086408364,2052.386221,80,35.12926323,14.16860001,846.4187701,2.39320186,468.483287,0.21,0.203922999,588,-0.366637,-0.281007,0.056326089,0.040677179,0.12051667,0,-0.0613107,0.07737004,0,0,-0.042057,0.118231713,1,1,-501.0771433,1,1,1,1,0,0,0,0,0,0,0,2.2,,138.21,162
55,0.085243271,1898.973101,80,29.39840858,17.75016968,891.1364187,2.751197904,572.5466757,0.21,0.302474435,588,-0.366637,-0.281007,0.087729355,0.06064646,0.126947369,0,-0.0613107,0.0976832,0,0,-0.042057,0.119469322,1,1,-501.0772638,1,1,1,1,0,0,0,0,0,0,0,2.6,,126.41,164.62
56,0.142536037,1636.798103,80,55.19026474,13.3792344,1600.772055,3.72455183,370.0669182,0.21,0.394913716,588,-0.366637,-0.281007,0.058147564,0.037222498,0.154469603,0,-0.0613107,0.071244587,0,0,-0.042057,0.120932598,1,1,-501.0769406,1,1,1,1,0,0,0,0,0,0,0,2.2,,179.9,157.78
