X,saem,cond,mode,se,ll,run
2,224.126685142517,,,133.562553405762,133.549384117126,1711293260_55141
8,420.880017518997,,,229.565534353256,207.804053544998,1711334018_38375
7,390.451076030731,,,224.158343315125,233.805911064148,1711304985_52537
1,419.565918207169,,,228.533617734909,245.663531064987,1711311280_97028
6,225.053944826126,,,132.023087501526,134.684262990952,1711310660_43305
3,594.699587345123,,,269.113098621368,273.726713180542,1711286033_17759
3,253.748246431351,,,138.698142051697,148.011655092239,1711285431_02861
10,218.668495893478,,,130.690755367279,133.514785289764,1711321665_3958
9,382.729225873947,,,217.099497556686,206.951285839081,1711334876_76257
3,764.963078260422,,,256.632996797562,256.408578872681,1711286082_09663
6,359.571533918381,,,194.520641088486,207.762578964233,1711295075_63713
8,225.910571336746,,,127.536968231201,133.468312740326,1711301199_07836
5,220.014165639877,,,123.954827547073,127.360531568527,1711295105_02037
1,2087.67727231979,,,1.40703511238098,222.809820175171,1711302801_46467
10,679.057942867279,,,269.44523191452,274.412551879883,1711293462_35624
3,238.108419895172,,,125.195019245148,126.999486207962,1711299651_66865
7,294.431874752045,,,197.092163562775,195.655697107315,1711302561_9365
3,348.566708803177,,,215.149171113968,227.876897573471,1711313077_50773
4,226.305840015411,,,132.063357830048,133.627070903778,1711314170_52949
7,224.810871124268,,,130.985787391663,132.299614906311,1711316853_45056
8,196.895194530487,,,122.784515142441,128.841130971909,1711314835_38052
2,287.284248828888,,,205.508667945862,181.425508737564,1711337467_07304
4,196.490691900253,,,124.267777204514,125.369438648224,1711309518_12836
2,187.40762257576,,,128.903678417206,132.643238782883,1711297665_68714
2,197.33687210083,,,129.935290813446,133.038323879242,1711290987_26768
6,358.975333213806,,,223.417691707611,233.033643960953,1711334023_55349
10,296.310065031052,,,215.183259248734,211.986116409302,1711304676_8742
6,304.113000154495,,,197.116175174713,188.200816869736,1711321966_4617
6,286.566019535065,,,206.35743355751,191.116256475449,1711332399_79416
10,212.430038690567,,,131.18562412262,133.689010620117,1711318520_25737
2,289.948556423187,,,216.896545648575,202.982445240021,1711295726_11677
7,211.338371515274,,,131.262217760086,139.773777723312,1711287806_49245
9,316.29895234108,,,194.168347120285,201.728965044022,1711297973_57741
10,199.241409301758,,,123.94310593605,123.524676561356,1711298234_98343
7,207.854642868042,,,125.6951649189,125.462789535522,1711320101_86591
5,222.526062726974,,,132.347259998322,133.387939929962,1711314662_57364
2,216.919231176376,,,129.584606409073,128.117947816849,1711299176_90559
1,209.949200868607,,,125.04079580307,125.490333557129,1711307858_37608
9,346.142053842545,,,208.681611299515,213.815889358521,1711292693_66367
2,200.19948554039,,,131.576163291931,136.342086315155,1711284962_85943
9,205.856447458267,,,133.55784034729,136.818279504776,1711288891_34119
5,291.460061788559,,,215.997986555099,188.1333963871,1711339897_73214
10,320.204742908478,,,203.312989711761,190.194107055664,1711326652_98235
1,435.368793010712,,,211.697095394135,217.488740205765,1711284070_74988
4,213.832743167877,,,131.308247327805,132.89314198494,1711306126_2844
2,304.437538862228,,,226.343533992767,196.485344648361,1711329095_34029
2,297.965321302414,,,198.875509262085,187.095820903778,1711318646_50094
8,318.978836536407,,,204.370722055435,190.602862596512,1711303249_21279
2,225.38034081459,,,129.698021888733,131.217289209366,1711305113_427
4,1720.53153204918,,,728.451843976974,707.084946393967,1711297489_33926
9,317.962948799133,,,202.414920806885,193.15318274498,1711303963_2637
3,338.063138484955,,,195.009954690933,204.684185028076,1711300994_15966
3,306.736763715744,,,218.203835487366,197.012413740158,1711329822_75985
8,352.869206190109,,,218.719304800034,227.491978883743,1711305833_99472
9,199.841289520264,,,133.827847957611,133.478088378906,1711318053_04831
8,191.926603555679,,,128.583733081818,125.770263195038,1711320560_93486
1,208.484357595444,,,131.517555475235,134.199400424957,1711298702_64481
2,213.945259094238,,,127.63948559761,127.62820315361,1711287830_37674
9,209.85578751564,,,128.089564085007,127.33088850975,1711292309_60072
5,309.977934360504,,,205.289469242096,201.425099134445,1711321249_56772
2,288.312124729156,,,200.559127807617,187.268769025803,1711307436_18866
3,289.370670557022,,,215.338604450226,195.324405670166,1711338141_39066
8,285.627377986908,,,212.409383773804,191.652526378632,1711342530_20099
10,293.211122274399,,,227.237710952759,191.081963300705,1711335683_67083
5,376.356293916702,,,229.251457452774,237.697714090347,1711333180_16944
3,259.048136949539,,,132.873704433441,134.528720140457,1711305599_77605
2,441.149640798569,,,222.888527870178,238.601127624512,1711312174_80923
9,203.799134016037,,,131.441759109497,132.965254068375,1711301686_06488
2,193.159288644791,,,123.620728492737,123.97725725174,1711316551_60108
7,202.233654737473,,,132.758629083633,139.194131135941,1711307815_52636
10,1753.13524961472,,,821.668687105179,838.707511663437,1711307847_30876
9,360.003029823303,,,200.652304410934,190.589326620102,1711325901_63516
1,219.244227409363,,,128.777587175369,127.763447761536,1711292784_71362
4,233.477808237076,,,129.84022808075,132.896961927414,1711298722_67016
5,206.963153362274,,,133.061825752258,136.950250148773,1711306604_37206
9,332.918069601059,,,212.183732271194,183.628828525543,1711343220_00164
2,501.821220159531,,,232.719922065735,242.957733154297,1711329926_25669
8,1995.9850924015,,,19.025773525238,311.592081069946,1711323574_95402
7,1164.91901683807,,,1.07776308059692,254.875104904175,1711305100_03749
4,359.807500362396,,,194.409397363663,198.318242073059,1711309032_18484
6,1501.36281847954,,,3.05221605300903,198.09458732605,1711315150_88065
1,764.28995847702,,,2.57925772666931,331.151213884354,1711328828_17754
8,238.975929021835,,,182.940696716309,177.81316113472,1711291709_81569
3,228.69948387146,,,125.315727710724,130.094106197357,1711309033_9657
3,494.814937353134,,,0.908785104751587,166.630447387695,1711288299_649
4,478.671314716339,,,199.175112962723,224.343976259232,1711320347_00287
6,915.667071580887,,,2.4862699508667,194.640334844589,1711318989_02002
1,1292.80462956429,,,1.67545342445374,419.813056945801,1711327380_96853
