X,OFV,AIC,BIC,BICc,chosenDegree,standardError,run
2,1258.74766754989,1298.74766754989,1335.75061958409,1361.51402814157,5,0.425604143888336,1711285094_83222
5,1258.74834844652,1298.74834844652,1335.75130048072,1361.51470903819,5,0.55777079031054,1711294125_41651
6,1258.78707223813,1298.78707223813,1335.79002427234,1361.55343282981,5,0.436506085815494,1711314758_45181
6,1258.79581993634,1298.79581993634,1335.79877197054,1361.56218052802,5,0.514761196137469,1711295576_4064
3,1258.82569277856,1298.82569277856,1335.82864481276,1361.59205337023,5,0.475979418633832,1711291447_64137
1,1258.82833714106,1298.82833714106,1335.83128917526,1361.59469773273,5,0.514088884021515,1711290208_6337
5,1258.84990817095,1298.84990817095,1335.85286020515,1361.61626876263,5,0.52365656232897,1711300645_52331
7,1258.86086692051,1298.86086692051,1335.86381895471,1361.62722751218,5,0.521093055988828,1711315683_6956
7,1258.90993295289,1298.90993295289,1335.91288498709,1361.67629354456,5,0.432265149567733,1711322656_33535
10,1258.92695401315,1298.92695401315,1335.92990604735,1361.69331460483,5,0.5297451547896,1711343948_84567
9,1258.93995996947,1298.93995996947,1335.94291200367,1361.70632056115,5,0.501551337539506,1711342406_91617
1,1259.04893597063,1299.04893597063,1336.05188800483,1361.81529656231,5,0.59903188959253,1711284207_8209
6,1259.05493425265,1299.05493425265,1336.05788628685,1361.82129484433,5,0.48989045731134,1711316298_3236
6,1259.10014535214,1299.10014535214,1336.10309738634,1361.86650594382,5,0.507397305226107,1711299897_85049
6,1259.1025876721,1299.1025876721,1336.1055397063,1361.86894826378,5,0.526333034974689,1711340593_41485
2,1259.12613954052,1299.12613954052,1336.12909157472,1361.89250013219,5,0.454174209530924,1711308318_93108
3,1259.13692209334,1299.13692209334,1336.13987412754,1361.90328268501,5,0.503003891767128,1711308112_4101
1,1259.13848082417,1299.13848082417,1336.14143285837,1361.90484141585,5,0.515939514493943,1711306294_71781
7,1259.17654516719,1299.17654516719,1336.17949720139,1361.94290575887,5,0.454352477045237,1711325757_98831
3,1259.18355196372,1299.18355196372,1336.18650399792,1361.9499125554,5,0.472817930210883,1711313370_96487
7,1259.30709055195,1299.30709055195,1336.31004258615,1362.07345114363,5,0.451816436238628,1711295837_53855
5,1259.37331458397,1299.37331458397,1336.37626661817,1362.13967517565,5,0.558634800884401,1711289672_93312
1,1259.38538251242,1299.38538251242,1336.38833454662,1362.1517431041,5,0.515521518867791,1711315928_36216
8,1259.42329406472,1299.42329406472,1336.42624609892,1362.1896546564,5,0.521232879534549,1711308289_76912
3,1259.52521985298,1299.52521985298,1336.52817188718,1362.29158044466,5,0.434298951194103,1711296436_01435
8,1259.57460448439,1299.57460448439,1336.57755651859,1362.34096507607,5,0.558377605480832,1711296897_59456
8,1259.61803204986,1299.61803204986,1336.62098408406,1362.38439264153,5,0.492072512275023,1711288288_92563
8,1259.67665285887,1299.67665285887,1336.67960489307,1362.44301345054,5,0.442037093781528,1711317341_62185
5,1259.74143200236,1299.74143200236,1336.74438403656,1362.50779259404,5,0.43720970562707,1711331471_23581
2,1259.77867849353,1299.77867849353,1336.78163052773,1362.54503908521,5,0.538340975543583,1711299899_38327
6,1259.78957431537,1299.78957431537,1336.79252634957,1362.55593490705,5,0.511932841810899,1711289460_39938
