run,ay2,ay3,CLM_pop,CLP_pop,corr_f_m_CLP,corr_f_m_V_2,corr_f_m_V_3,corr_V_2_CLP,corr_V_3_CLP,corr_V_3_V_2,f_m_pop,k_a_pop,omega_CLP,omega_f_m,omega_V_2,omega_V_3,Q_25_pop,Q_34_pop,V_2_pop,V_3_pop,V_4_pop
1711308957_94365,0.60077773524168,0.512849561495167,2.03308003053295,4.69806580748238,-0.921099227877055,-0.912694513655085,-0.933697480372147,0.92949368136474,0.90928776170007,0.955028061420278,-1.56065,-2.66135236853822,0.877800535922022,1.07689021703398,0.973157657449858,0.968811349894203,-0.673185672483378,1.46139428642924,7.79558976142525,6.45970622732017,11.0772323817231
1711295659_75394,0.599780257567406,0.510728955344332,4.16948879244851,4.7311184636257,-0.928558348631828,-0.927771919447734,-0.942417974939023,0.950854188545079,0.928512365658242,0.961051989921646,-1.56065,-2.71946001943334,0.950775927787821,1.15788402642054,1.09455895641041,1.09480744191567,-0.914435017389837,4.52909020186516,7.8300494686536,9.03044394996586,14.7168565532372
1711316993_4125,0.602200901719741,0.506304933182103,2.31490295716893,4.71747447297963,-0.9042954336106,-0.922053995838063,-0.93508417490263,0.941767013808028,0.891623739957208,0.949522079658463,-1.56065,-2.72203081298864,0.906541746422354,1.07036266223893,1.06212517889892,1.00754914853321,-0.828194029941551,2.72813210628938,7.78237309583433,7.20182534698799,12.898882358579
1711287135_78451,0.608797434942116,0.505763657957625,1.08280732025019,4.66260465698805,-0.893444732611526,-0.910889240463604,-0.938201420683181,0.943283137289805,0.90963837303737,0.954617168320963,-1.56065,-2.70458213734078,0.839976698304007,1.11525406188825,0.987089669190124,1.05270498284913,-0.766455598332631,1.37692075937437,7.75811668786982,5.88186533833366,11.5570951419596
1711302792_67817,0.602136786977622,0.512570547190441,2.70146105550932,4.67642916993695,-0.874920371869028,-0.911620737257618,-0.927633882524888,0.924334987408765,0.852970674482289,0.943397236556037,-1.56065,-2.680416484552,0.912247251553195,1.04257049405985,0.991325936033261,0.92444403839713,-0.68283086656827,3.41965769971048,7.75809120759428,7.80702675273085,13.7253953087985
1711300503_71848,0.599766809676558,0.511087935318267,2.15035093884317,4.66522468082518,-0.907227152615811,-0.925672823817728,-0.941152312355014,0.927093112816954,0.894003427370617,0.953914187634136,-1.56065,-2.70367560259402,0.867161531654694,1.10634663655179,0.97304482062526,1.00797160878434,-0.674170873299825,-0.0156186895782915,7.7642386320664,6.22918473970524,8.2355903984599
1711312674_4398,0.600412785138075,0.505616185754678,1.88900704744237,4.62255520147473,-0.914898180507722,-0.919277324298107,-0.935021768667437,0.947682455209826,0.927595535908853,0.962688171231895,-1.56065,-2.67429784835377,0.961878816897639,1.0954097891664,1.10370097442255,1.03772123297547,-0.825032235564799,2.19205622793475,7.7291438150072,6.71841363048508,12.3974139209629
1711289367_63357,0.60190663786636,0.508679701165966,4.28268653280716,4.52216046334972,-0.926465464928503,-0.930691629147758,-0.93554035278368,0.938949407858402,0.902720391987648,0.956974672595846,-1.56065,-2.74302401113049,1.02074089060432,1.10360460529809,1.09298528087925,1.00393295627691,-0.759771813788872,4.70630325603262,7.64976677219782,9.18252085428199,14.8866880919175
1711297597_68308,0.598669726249563,0.504640170551689,2.76499249026273,4.70879219575981,-0.919094046162886,-0.924402397455584,-0.934291018403693,0.94417185405022,0.91889360917926,0.961121732962216,-1.56065,-2.68492109032087,0.924189271936834,1.08115612578381,1.07176855271569,1.03702617418748,-0.815753012394909,3.227857528609,7.79731914696313,7.68820634799881,13.4840131356323
1711291643_53145,0.596108235333652,0.509059551528251,2.58490212548231,4.68633765128039,-0.920750298546262,-0.926846719298711,-0.94152844951074,0.946522055942575,0.921325363084781,0.962068200644746,-1.56065,-2.67855625556579,0.993541516012482,1.14323824882374,1.11651145917328,1.0954128374636,-0.895076933171815,3.0524165799816,7.80108102808654,7.50857469987361,13.3174835068285
1711293563_53472,0.602100076260412,0.512871764801689,-0.0001376486899298,4.60965284615283,-0.922891360556855,-0.924971241566742,-0.939031246747326,0.945082271908165,0.917879164572486,0.957292238497286,-1.56065,-2.72055166514274,1.00422772955549,1.09051083890152,1.11809067712809,1.03559813649968,-0.844226729537178,0.671881533889632,7.73606179856977,5.04513237096123,10.9582287202944
1711306633_12691,0.599375811746538,0.511894944241613,3.76054023639031,4.67457542614339,-0.89635931193082,-0.913736653341307,-0.937726864758735,0.928983353321404,0.892221458578197,0.950329520197533,-1.56065,-2.67304480371561,0.89247073254847,1.05958576743525,0.998638782122147,0.97105606229363,-0.731719468456343,4.0615240216196,7.76415819686184,8.58744263735422,14.2462791517848
1711321007_34055,0.600324550688455,0.50634725434894,1.99315221506831,4.68327680745299,-0.93342844041264,-0.929924967021068,-0.936637299271198,0.948058582524706,0.925925637659603,0.961054720481034,-1.56065,-2.6851226423014,0.913050526339821,1.10036948705369,1.05692948328807,1.02574323445158,-0.86347344819932,0.0704039975333258,7.77968904087366,6.10239232763053,8.63110611553985
1711341537_07221,0.601201102163656,0.513767233223724,3.42177359653964,4.6448789287964,-0.896782141221771,-0.90260574358816,-0.932552589810548,0.932987285991118,0.887780686545813,0.943018249906068,-1.56065,-2.67943056661689,0.927099642648327,1.07603270856419,1.01385804885893,0.957554979156782,-0.708098495656999,3.77477177146399,7.75315588586667,8.29106865328676,13.9058344117052
1711292159_69842,0.603311541039948,0.508092278110393,2.21466691935063,4.69468773417181,-0.927783532084736,-0.933289919621419,-0.936431215594485,0.941631065459494,0.90803894327554,0.958638747866735,-1.56065,-2.71378081120452,0.934405518616123,1.06216249534878,1.08397343225963,1.01308698390079,-0.711297125166454,-0.0099062160842987,7.77171694732944,6.28520333637376,8.15207935724715
1711300803_0283,0.605785840167342,0.510244646950897,1.9659486255905,4.7115690721415,-0.904178213310419,-0.922154270624105,-0.937120458582653,0.929180681968859,0.889118847394157,0.951956426114684,-1.56065,-2.73295223076797,0.817189231135671,1.1056228946083,0.940001735789293,1.02899066666198,-0.744743849061163,-0.10873213593254,7.79858924125089,6.03853233934655,8.28165350691066
1711307081_40483,0.598887584394129,0.51329721038146,5.80158223167669,4.68258403247213,-0.906348717863863,-0.905199375107454,-0.93005077831041,0.932747526170669,0.900712531707525,0.949171409643144,-1.56065,-2.66536779446581,0.947967986021248,1.07291530691036,1.03710461721377,0.95929237139843,-0.714498366394519,6.61575288530884,7.78511248761268,10.9743089776674,16.9146217181073
1711293751_85411,0.59696014128536,0.50171484985784,4.23394911933251,4.65588740070619,-0.923782066655693,-0.93000424544247,-0.937802554439684,0.948294392442086,0.925931116153359,0.964441592336445,-1.56065,-2.67193206385806,1.00268927793218,1.11904764421342,1.14432431768253,1.06416779986077,-0.868938391180791,4.78553599256068,7.73678954987129,9.21027737002218,15.1585692250868
1711294222_80003,0.600595987911743,0.509427831778297,2.10445169158039,4.67137671304329,-0.905955382301265,-0.900666629935696,-0.928673673375157,0.932538792587748,0.902820087539918,0.94608314929132,-1.56065,-2.7042264046041,0.884833166334509,1.06151013523256,0.993605281740659,0.95512043270066,-0.668161715262476,2.39357292736166,7.77476497986015,6.94097295502936,12.4980704941647
1711290507_00761,0.604427926856891,0.507729349043577,1.33421513310433,4.70076574414723,-0.894914167918315,-0.906892391210698,-0.934173876806873,0.938997685244113,0.894830780594794,0.945067090729738,-1.56065,-2.69697941358476,0.859525583854312,1.06044698582965,1.00502020515412,0.979488171103591,-0.77877375444687,-0.346069932280061,7.78137613423158,5.47404666861601,8.44026177930174
1711285971_54286,0.598149336463286,0.513563448235963,3.93699035356901,4.72833200297206,-0.920571741799384,-0.917932504447606,-0.937988557554901,0.943948947840171,0.920958670969184,0.957404668968214,-1.56065,-2.6778092080595,0.964374948064231,1.10537660424618,1.07396192613337,1.02976567805266,-0.92604686410939,4.23968495969872,7.85361528489237,8.77052545440391,14.3656505096516
1711287360_15485,0.599054236764533,0.512100263456595,5.42121510738788,4.72226181252551,-0.915672714182271,-0.903409642333678,-0.931607690497452,0.926773960817036,0.909207477388482,0.951932269938219,-1.56065,-2.68727037288569,0.863778085201663,1.08588734279824,0.967677579913784,0.984911635221485,-0.63991539411529,5.91451520047868,7.83393039984662,10.3773126188284,16.0656618396765
1711294949_62519,0.595852491768319,0.509913651477029,2.80927575848867,4.64358663319325,-0.917506997774054,-0.913487305360641,-0.931526518883302,0.934076737664152,0.907108625725409,0.952341749054733,-1.56065,-2.66810923385076,0.953476428108413,1.07925769951715,1.04903087460806,0.964706149390842,-0.751462049598599,3.14213865656903,7.75936372586439,7.67794366393352,13.2946184476465
1711309964_31111,0.598189951595424,0.517966095284592,-0.0544803137598647,4.65316937899424,-0.917997305583778,-0.910548824274152,-0.930068437750248,0.933854096097386,0.906040177492975,0.949209695424206,-1.56065,-2.67836005937994,0.949284523156802,1.07010621298384,1.03016802392177,0.961950458114768,-0.709836517812249,0.544807099626095,7.77022426350466,4.95867607491867,10.7176806110342
1711339919_82597,0.598974559503819,0.503088120882178,3.43931826058948,4.63473119672261,-0.915828519699271,-0.921201779481607,-0.936553549403916,0.944733345815853,0.92591497177712,0.962240022582319,-1.56065,-2.66024337144252,0.962949253734709,1.10223519179549,1.08643757252178,1.06718817445001,-0.795336414806717,3.85261562317749,7.7493192256206,8.32512769309588,14.1048712255106
1711292809_96183,0.598496848380041,0.513403199425483,2.09619435143427,4.68361065625617,-0.90602464691489,-0.8990755252599,-0.937025524015209,0.932102274002557,0.911580992433517,0.948846659922246,-1.56065,-2.6849782151946,0.907457478447546,1.10947908670135,0.997480280934908,0.997841195835531,-0.764004343670766,-0.0220102183802283,7.80101355967065,6.18663410913935,8.29587894783845
1711291051_97367,0.599997833113314,0.506788884092168,3.16723507639029,4.64175719026841,-0.90110605630518,-0.914995008397565,-0.936297844912013,0.945421151353277,0.917795738318318,0.958242143725758,-1.56065,-2.66868719866253,0.947267122132256,1.0861702137082,1.08600946202444,1.06318285801492,-0.747227106391685,3.61828165436238,7.73958207078977,8.0652830992068,13.8637354145361
1711306520_96065,0.597103046280741,0.502233946340143,5.85014963074697,4.69804496571054,-0.928579120885367,-0.932075272380666,-0.942280040183551,0.956369016269546,0.930452203692251,0.962046339744422,-1.56065,-2.67066909523778,1.0020499826651,1.13169435435708,1.1638686636645,1.09314255527648,-1.10336071267985,6.75448236877246,7.79845256086045,11.0651992882796,17.303404367783
1711294700_17352,0.600330016442138,0.515023460467986,2.24247022111396,4.68171600647415,-0.919135400444445,-0.923259681740525,-0.933170078531256,0.942673017054652,0.91677372497956,0.958165730024648,-1.56065,-2.73216739154771,0.899376468952139,1.005331935413,1.06625927469293,0.965073667144051,-0.69506273241351,-0.0014734561946743,7.76738495319782,6.31191661182071,8.05485793465011
1711296249_8065,0.602309553310119,0.506897141401749,2.2520661572135,4.62317333637152,-0.922231664515399,-0.920188560399669,-0.934524708235146,0.934575099551066,0.906123427350644,0.956089945767694,-1.56065,-2.66530144600026,0.919586105602515,1.08887656227092,1.02858566819791,0.998873075548169,-0.772303401785245,0.0171006117950179,7.73293944075439,6.3199204667277,8.26532278787266
