run,ay2,ay3,CLM_pop,CLP_pop,f_m_pop,k_a_pop,omega_CLP,omega_f_m,omega_V_2,omega_V_3,Q_25_pop,Q_34_pop,V_2_pop,V_3_pop,V_4_pop
1711314700_12064,0.728654606918838,0.613732926820554,2.51251476994837,3.4019300342481,-1.56065,-4.10319478976823,0.243806334014412,0.204859760339591,0.245513594997761,0.235884737146662,-0.746901855012741,0.37340206974206,6.50396741726066,6.36379301586322,6.15576128260206
1711286308_84545,0.72453195328022,0.611635245197415,1.45345051094362,3.29953259813726,-1.56065,-4.1089906665579,0.251972521024892,0.214525353413324,0.270440703535896,0.251169902516744,-0.814710708196464,-0.708830533174982,6.41452257035019,5.30374213584785,5.09487893345549
1711304808_79693,0.726636296388215,0.612803705971339,3.32983978990338,3.32423792752482,-1.56065,-4.10672614400344,0.250079059919844,0.223020266336758,0.242414483552573,0.240217318296083,-0.782155734859476,1.17408149842104,6.43474183216574,7.18502612290483,6.97931776139833
1711305391_41753,0.727412489958252,0.615090325458558,4.52356634288659,3.38505072999054,-1.56065,-4.09201869441247,0.286156261514066,0.234170119288164,0.207402960951529,0.233021637898315,-0.72763231836375,2.39357446759434,6.50204173168188,8.36716879449622,8.17808652479203
1711297648_93202,0.727309481837566,0.612213006936074,5.66040901840649,3.30439023881593,-1.56065,-4.09841783099836,0.304362653550836,0.216836592104256,0.205209248302814,0.250690716875476,-0.765651196306354,3.52504813062621,6.41978654154583,9.50078575340808,9.28763548365455
1711295160_33521,0.72682382970247,0.618858392668807,4.8794096522317,3.15375365930118,-1.56065,-4.1186919420181,0.251614258631659,0.195031464607644,0.264808684656755,0.231663254368654,-0.875390137341736,2.71745250704101,6.26284769500174,8.72640024880381,8.51348442076645
1711347713_19443,0.724986442427791,0.615101120621747,6.07354312126709,3.19074485875054,-1.56065,-4.11043820010617,0.304722280076,0.216873803387843,0.228977537582403,0.2433104906775,-0.839338870223759,3.92243715883332,6.30042378738381,9.91706118092875,9.69456539530964
1711305435_19262,0.72650397153403,0.61183403275768,6.53086580968689,3.1297317793266,-1.56065,-4.11381355655115,0.167835982985546,0.21751441110955,0.342931749840287,0.260342402589921,-0.911969803783861,4.35949336717909,6.25945362588134,10.3781205383589,10.1821703711197
1711310368_97666,0.727112729427732,0.614230999440287,3.06288023386568,3.20978212895793,-1.56065,-4.10841464420028,0.302209406777084,0.228642279814334,0.216543809067688,0.257589840086423,-0.850138633124276,0.911366786906388,6.33032736443017,6.9066246241352,6.71081469895753
1711290148_65504,0.72557816935704,0.616589627067234,4.27472836970862,3.12214641374312,-1.56065,-4.12109109889634,0.277719895465512,0.205073412559959,0.240738696995531,0.241818940373203,-0.886440345917318,2.09900975267731,6.23019136933258,8.12703061743916,7.89020973895199
1711303050_96951,0.724957509337484,0.619217547547684,2.25246292031365,3.05069589539106,-1.56065,-4.11349606306223,0.288234418123433,0.211190441698515,0.256132030856238,0.218677636664668,-0.929547486072564,0.146050363439486,6.17197143053749,6.09353476176867,5.8794626206182
1711289661_19136,0.726109739290168,0.617659287016983,2.33093187631413,3.0388260109866,-1.56065,-4.13752722642745,0.292764500142693,0.220287858293301,0.236941879083122,0.236752273008894,-0.929916081800532,0.0057978356755585,6.13838268429206,6.19229182815419,5.95821552664418
1711301339_15477,0.728347403876091,0.613453517876217,2.31194429662781,3.16761001461737,-1.56065,-4.13262318329325,0.295255191217505,0.247705462518232,0.210626053275388,0.243341221835388,-0.858955777072675,-0.0505127243788047,6.27144818181205,6.18171098132404,5.94304380410936
1711288175_64492,0.728971147243557,0.619268783220819,3.91858186734226,2.97113607249149,-1.56065,-4.12910449771332,0.265087007508608,0.217843835403294,0.243911142983598,0.229624060479107,-0.954942817040993,1.75420001665733,6.07598118104401,7.7605912434786,7.54708597303957
1711299515_95423,0.725655332542245,0.616624530198726,2.53568500829366,3.30605773985649,-1.56065,-4.13480848583293,0.143204821372556,0.198093758212216,0.357029355246216,0.261933111005694,-0.850102175619284,-0.0003114869599444,6.42895118171773,6.42414659433671,6.16396200666364
1711303626_4276,0.728142640419703,0.615787318428952,4.25397937174064,2.96537731259762,-1.56065,-4.13287221719272,0.305667730293698,0.234067662248534,0.20922625770385,0.239071933211942,-0.959391983285632,2.08068255314054,6.0645130029593,8.09548074981863,7.86405992057773
1711298721_0712,0.729692831135954,0.619585267752054,5.02826587400772,2.91244793073854,-1.56065,-4.14380567812014,0.19643676529658,0.141414111011552,0.293796706646844,0.278183985608081,-1.01180341969873,2.85065445942286,6.00881742198638,8.88615841683845,8.6449275850702
1711315081_01798,0.729680155438209,0.6194889301816,2.42664663466825,2.90717113663111,-1.56065,-4.13005911660376,0.323590115620748,0.204103392453767,0.170900593036839,0.227640960523613,-0.969297355734484,0.196954903361157,6.00346440194325,6.28071243778533,6.02209568539239
1711304184_58985,0.725166532883789,0.617125628750214,6.47870174610373,2.8288819897476,-1.56065,-4.14398774435559,0.121015113051083,0.169577021178846,0.379363930423289,0.267070243986126,-1.10705157434642,4.27835605156724,5.94346510095446,10.3228325656258,10.0978406347713
1711302437_60489,0.727517598816301,0.617457947481189,2.31775852569577,2.8372853425249,-1.56065,-4.13531037340959,0.270335553220545,0.200429752873651,0.236229896290875,0.250410455467438,-1.05769805908729,0.0978853005029151,5.95458379033894,6.17481393842919,5.91720264372476
1711310148_09121,0.726011402954702,0.621725595434778,4.83580820255878,2.73250503954212,-1.56065,-4.14382081996579,0.232464793331892,0.191981415670543,0.296913329796696,0.238133391830869,-1.11993456980818,2.63939604429521,5.84392632668035,8.68040004290681,8.45915038194787
1711292753_62398,0.727911922369437,0.616923894533956,3.54913114706367,2.65809880581308,-1.56065,-4.13975443045631,0.284435141723567,0.22438065467128,0.235911760839312,0.24267905568824,-1.13044345081925,1.37002571877632,5.76125709701925,7.39698793802256,7.14640576215665
1711315248_00343,0.730501519140974,0.620164372268478,4.73980633197004,2.69549515256964,-1.56065,-4.13613470455275,0.28496338319674,0.22250452090451,0.209173907936152,0.220099316535685,-1.08723476792754,2.54735526930621,5.79433117649032,8.58178929045732,8.33432012496925
1711332189_30515,0.727680091334988,0.621102311875842,4.48054975311454,2.60647684981154,-1.56065,-4.14543858966902,0.323070710368983,0.220690375145235,0.168117387163291,0.242100101168323,-1.16077004889675,2.30261940092173,5.70548450649696,8.32197613910423,8.05935347004959
1711293780_52237,0.731311647906575,0.617020299098029,3.19242515469045,2.58677756376944,-1.56065,-4.14674646575188,0.311154393652325,0.215101647981027,0.14901144370123,0.252199305634324,-1.14323879871374,1.00538355770707,5.67339186253314,7.04309221110093,6.74896449326072
1711284489_72336,0.729524438835863,0.623990787516535,2.28476153019138,2.71829515383537,-1.56065,-4.14381718985176,0.177140729184974,0.208568400219774,0.322272598695033,0.182665182605091,-1.12686496980496,0.0795764434311057,5.82973549575976,6.12693843142566,5.91168577996522
1711295937_79326,0.729698994493695,0.620054993865732,3.1890962216082,2.41143564976203,-1.56065,-4.15124142917603,0.320250546549994,0.209708007052393,0.169189391192678,0.243686508074076,-1.26489310391097,1.0010970714724,5.51158915997434,7.03081822061973,6.77908929173348
1711332770_17182,0.728596616742594,0.625048592298727,4.13012572833411,2.57793379053765,-1.56065,-4.14317585694376,0.270569134136914,0.250214607530432,0.236071871784407,0.174271644744564,-1.16552197843978,1.94379213136252,5.67824381995203,7.96690560414791,7.7487249340247
1711293206_44439,0.729872881760957,0.617345504876778,2.58428028003452,2.3015687691615,-1.56065,-4.15535329556334,0.308995364263477,0.232722549198931,0.202362919127583,0.253954579698313,-1.32609105849497,0.41867342850941,5.39852304943673,6.4143706510079,6.16623030512797
